id,name,mass,fall,year,longtitude,latitude
5295,Castrovillari,15000,Fell,1583,16.2,39.8
16745,Morito,10100000,Found,1600,-105.43333,27.05
12069,Jalandhar,1967,Fell,1621,75,31
23732,Stretchleigh,10400,Fell,1623,-3.95,50.38333
11855,Hatford,29000,Fell,1628,-1.51667,51.65
16692,Minamino,1040,Fell,1632,136.93333,35.07833
16805,Mount Vaisi,17000,Fell,1637,6.86667,44.08333
18033,Ortenau,4500,Fell,1671,8,48.5
23457,Schellin,7000,Fell,1715,15.05,53.35
23615,Siratik,1700,Found,1716,-11,14
23722,Steinbach,98000,Found,1724,12.5,50.5
22396,Rasgrad,24700,Fell,1740,26.53333,43.5
17994,Ogi,14360,Fell,1741,130.2,33.28333
12356,Krasnojarsk,700000,Found,1749,91.8,54.9
11916,Hraschina,49000,Fell,1751,16.33333,46.1
14757,Luponnas,14000,Fell,1753,5,46.21667
23776,Tabor,7540,Fell,1753,14.65,49.4
453,Albareto,2000,Fell,1766,11.01667,44.65
14724,Lucé,3500,Fell,1768,0.48333,47.85
15446,Mauerkirchen,19000,Fell,1768,13.13333,48.18333
23495,Sena,4000,Fell,1773,-0.05,41.71667
22642,Rodach,2900,Fell,1775,10.8,50.35
24018,Toluca,3000000,Found,1776,-99.56667,19.56667
14695,Longchang,158500,Found,1781,105.3,29.3
5015,Bendegó,5360000,Found,1784,0,10.11667
7775,Eichstädt,3000,Fell,1785,11.21667,48.9
12291,Kharkov,1500,Fell,1787,35.075,50.625
4942,Barbotan,6400,Fell,1790,-0.05,43.95
30381,Zacatecas (1792),1000000,Found,1792,-102.56667,22.81667
5261,Cape of Good Hope,136000,Found,1793,-26,33.5
23586,Siena,3700,Fell,1794,11.6,43.11667
24325,Wold Cottage,25000,Fell,1795,-0.41333,54.13667
5063,Bjelaja Zerkov,1850,Fell,1796,30.16667,49.78333
18876,Portugal,4500,Fell,1796,-8,38.5
18884,Prambanan,500000,Found,1797,-110.83333,7.56667
5011,Benares (a),3700,Fell,1798,82.91667,25.36667
23111,Salles,9000,Fell,1798,4.63333,46.05
2320,Apt,3200,Fell,1803,5.38333,43.86667
12434,L'Aigle,37000,Fell,1803,0.63333,48.76667
15443,Mässing,1600,Fell,1803,12.61667,48.13333
5326,Charcas,1400000,Found,1804,-101.01667,23.08333
7751,Durango,164000,Found,1804,0,0
11884,High Possil,4500,Fell,1804,-4.23333,55.9
16705,Misteca,10000,Found,1804,-97.1,16.8
5062,Bitburg,1500000,Found,1805,6.53333,49.96667
7718,Doroninsk,3891,Fell,1805,112.3,51.2
448,Alais,6000,Fell,1806,4.08333,44.11667
24004,Timochin,65500,Fell,1807,35.2,54.5
